Month,Trade Date,Close
Mai 2025,12.07.2024,
Jun 2025,12.07.2024,36.585
Jul 2025,12.07.2024,
Jul 2024,15.07.2024,34.335
Aug 2024,15.07.2024,31.372
Sep 2024,15.07.2024,32.353
Okt 2024,15.07.2024,34.024
Nov 2024,15.07.2024,37.018
Dez 2024,15.07.2024,38.146
Jan 2025,15.07.2024,38.582
Feb 2025,15.07.2024,38.631
Mar 2025,15.07.2024,37.988
Apr 2025,15.07.2024,37.043
Mai 2025,15.07.2024,
Jun 2025,15.07.2024,36.412
Jul 2025,15.07.2024,
Jul 2024,16.07.2024,34.335
Aug 2024,16.07.2024,32.852
Sep 2024,16.07.2024,33.755
Okt 2024,16.07.2024,35.24
Nov 2024,16.07.2024,38.064
Dez 2024,16.07.2024,39.068
Jan 2025,16.07.2024,39.513
Feb 2025,16.07.2024,39.608
Mar 2025,16.07.2024,38.922
Apr 2025,16.07.2024,38.19
Mai 2025,16.07.2024,
Jun 2025,16.07.2024,37.139
Jul 2025,16.07.2024,
Jul 2024,17.07.2024,34.335
Aug 2024,17.07.2024,31.918
Sep 2024,17.07.2024,32.841
Okt 2024,17.07.2024,34.424
Nov 2024,17.07.2024,37.224
Dez 2024,17.07.2024,38.297
Jan 2025,17.07.2024,38.728
Feb 2025,17.07.2024,38.769
Mar 2025,17.07.2024,38.205
Apr 2025,17.07.2024,37.5
Mai 2025,17.07.2024,
Jun 2025,17.07.2024,35.883
Jul 2025,17.07.2024,
Jul 2024,18.07.2024,34.335
Aug 2024,18.07.2024,32.698
Sep 2024,18.07.2024,33.556
Okt 2024,18.07.2024,35.028
Nov 2024,18.07.2024,37.695
Dez 2024,18.07.2024,38.8
